Flokkun,N,skipting,ath
Chaetozone setosa,2,1,
Eteone longa,1,1,
Oligochaeta sp,3,1,
Ophelina acuminata,1,1,
Polydora,20,1,
Praxillella praetermissa,1,1,
Scalibregma inflatum,1,1,
Scoloplos armiger,3,1,
Spionidae sp,10,1,
—ßekkt,1,1,
Nephtys,2,1,
Capitella capitata,1,4,
Chaetozone setosa,3,4,
Cirratulus cirratus,1,4,
Eteone longa,2,4,
Harmothoe nodosa,1,4,
Harpacticoida sp,2,4,
Microphthalmus aberrans,2,4,
Nematoda,3,4,
Nemertea sp,2,4,
Oligochaeta sp,4,4,
Ophelina acuminata,12,4,
Ophiuroidea,1,4,
Phyllodoce maculata,2,4,
Polydora,38,4,
Pygospio elegans,1,4,
Scalibregma inflatum,2,4,
Spionidae sp,30,4,
Terebellinae,1,4,
Abra nitida,,,
Amphipoda,,,
Amphipoda,,,
Amphitrite cirrata,,,
Arctica islandica,,,
Aricidea suecica,,,
Balanus balanus,,,
Bivalvia,,,
Campanulariidae,,,
Capitellidae,,,
Cirratulidae,,,
Corophium bonnellii,,,
Cossura longocirrata,,,
Cossuridae,,,
Cumacea,,,
Foraminifera,,,
Foraminifera,,,
Gattyana cirrosa,,,
Harmothoe imbricata,,,
Harmothoe imbricata,,,
Harpacticoida sp,,,
Heteromastus filiformis,,,
Heteromastus filiformis,,,
Hialella arctica,,,
Leda minuta,,,
Levinsenia gracilis,,,
lirfurOgDrasl,,,
lirfurOgDrasl,,,
Lumbrineridae sp,,,
Macoma calcaria,,,
Macoma calcaria,,,
Maldanidae,1,4,
Maldanidae,,,
Maldanidae með augu,,,
Mediomastus fragilis,,,
Mya arenaria,,,
Nematoda,,,
Nemertea sp,,,
Nuculana minuta,,,
Orbiniidae,,,
Ostracoda,,,
Ostracoda,,,
Paraonidae ,,,
Pectinaria granulata,,,
Pectinaria hyperborea,,,
Pectinariidae sp,,,
Phyllodocida,,,
Polychaeta sp,,,
Polychaeta sp,,,
Polynoidae,,,
Polynoidae,,,
Polynoidae,,,
Praxillella praetermissa,,,
Priapulidae sp,,,
Protomedeia fasciata,,,
Scoloplos armiger,,,
Sipuncula ,,,
Sphaerodoropsis minuta,,,
Sphaerosyllis,,,
spio,,,
Syllidae,,,
Tubificoides kozloffi,,,
